"endTime","artistName","trackName","msPlayed","segPlayed","minPlayed","mesAño"
2019-01-19 15:46:00,"Arcade Fire","Neon Bible",17529,17.529,0.29,"enero 19"
2019-01-19 15:49:00,"Kanye West","Gold Digger",207541,207.541,3.46,"enero 19"
2019-01-19 15:49:00,"Kanye West","Hold My Liquor",5969,5.969,0.1,"enero 19"
2019-01-19 15:51:00,"Rihanna","FourFiveSeconds",2762,2.762,0.05,"enero 19"
2019-01-19 15:51:00,"Kanye West","Heartless",3076,3.076,0.05,"enero 19"
2019-01-19 15:51:00,"KIDS SEE GHOSTS","Kids See Ghosts",1533,1.533,0.03,"enero 19"
2019-01-19 15:51:00,"Kanye West","Highlights",2077,2.077,0.03,"enero 19"
2019-01-19 15:51:00,"Kanye West","Stronger",26924,26.924,0.45,"enero 19"
2019-01-19 15:51:00,"KIDS SEE GHOSTS","Cudi Montage",2851,2.851,0.05,"enero 19"
2019-01-19 15:52:00,"Kanye West","All Mine",1769,1.769,0.03,"enero 19"
2019-01-19 15:52:00,"Kanye West","Siiiiiiiiilver Surffffeeeeer Intermission",3149,3.149,0.05,"enero 19"
2019-01-19 15:52:00,"Kanye West","Heartless",4163,4.163,0.07,"enero 19"
2019-01-19 15:52:00,"Kanye West","Yikes",1242,1.242,0.02,"enero 19"
2019-01-19 15:52:00,"Kanye West","No Mistakes",3314,3.314,0.06,"enero 19"
2019-01-19 15:52:00,"Kanye West","Wouldn't Leave",3526,3.526,0.06,"enero 19"
2019-01-19 15:52:00,"Kanye West","Wolves",3525,3.525,0.06,"enero 19"
2019-01-19 15:55:00,"KIDS SEE GHOSTS","4th Dimension",153346,153.346,2.56,"enero 19"
2019-01-19 15:56:00,"Kanye West","I Love It (& Lil Pump)",79044,79.044,1.32,"enero 19"
2019-01-19 15:57:00,"KIDS SEE GHOSTS","Freeee (Ghost Town Pt. 2)",5550,5.55,0.09,"enero 19"
2019-01-19 15:57:00,"Kanye West","Real Friends",2298,2.298,0.04,"enero 19"
2019-01-19 15:57:00,"Rihanna","FourFiveSeconds",3363,3.363,0.06,"enero 19"
2019-01-19 15:57:00,"Kanye West","Violent Crimes",2736,2.736,0.05,"enero 19"
2019-01-19 15:57:00,"Kanye West","I'm In It",9155,9.155,0.15,"enero 19"
2019-01-19 15:57:00,"KIDS SEE GHOSTS","Kids See Ghosts",2532,2.532,0.04,"enero 19"
2019-01-19 15:57:00,"Kanye West","New Slaves",4993,4.993,0.08,"enero 19"
2019-01-19 15:57:00,"KIDS SEE GHOSTS","Feel The Love",3073,3.073,0.05,"enero 19"
2019-01-19 15:57:00,"KIDS SEE GHOSTS","Reborn",2485,2.485,0.04,"enero 19"
2019-01-19 15:57:00,"Kanye West","On Sight",2616,2.616,0.04,"enero 19"
2019-01-19 15:57:00,"Kanye West","Stronger",1621,1.621,0.03,"enero 19"
2019-01-19 15:57:00,"KIDS SEE GHOSTS","Cudi Montage",1998,1.998,0.03,"enero 19"
2019-01-19 15:57:00,"Kanye West","No More Parties In LA",6691,6.691,0.11,"enero 19"
2019-01-19 16:00:00,"Kanye West","Pt. 2",136496,136.496,2.27,"enero 19"
2019-01-19 16:02:00,"KIDS SEE GHOSTS","Fire",140526,140.526,2.34,"enero 19"
2019-01-19 16:41:00,"Kanye West","Yikes",12750,12.75,0.21,"enero 19"
2019-01-19 17:25:00,"Dove Cameron","Evil Like Me",224584,224.584,3.74,"enero 19"
2019-01-19 17:28:00,"Dove Cameron","Space Between",206333,206.333,3.44,"enero 19"
2019-01-19 17:32:00,"Dove Cameron","You and Me",212324,212.324,3.54,"enero 19"
2019-01-19 17:36:00,"Dove Cameron","If Only",229786,229.786,3.83,"enero 19"
2019-01-19 17:38:00,"Dove Cameron","Rotten to the Core",162030,162.03,2.7,"enero 19"
2019-01-19 17:40:00,"Jeff Lewis","Did I Mention",91515,91.515,1.53,"enero 19"
2019-01-19 21:42:00,"Rihanna","FourFiveSeconds",2364,2.364,0.04,"enero 19"
2019-01-19 21:42:00,"Kanye West","Gold Digger",1737,1.737,0.03,"enero 19"
2019-01-19 21:42:00,"Kanye West","Heartless",955,0.955,0.02,"enero 19"
2019-01-19 21:42:00,"Kanye West","Yikes",1178,1.178,0.02,"enero 19"
2019-01-19 21:42:00,"Kanye West","Yikes",4716,4.716,0.08,"enero 19"
2019-01-19 21:42:00,"Kanye West","Stronger",843,0.843,0.01,"enero 19"
2019-01-19 21:43:00,"Black Sabbath","Iron Man",4875,4.875,0.08,"enero 19"
2019-01-19 21:43:00,"Kanye West","All Mine",37228,37.228,0.62,"enero 19"
